,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,isDrafted,Year
264,Jacoby Shepherd,CB,Oklahoma State,73,195,4.53,35.0,5,120,,,1,2000
265,Samson Sherrod,OLB,San Jose State,75,262,4.78,,,,,,0,2000
266,Wes Shivers,OT,Mississippi State,77,318,5.65,22.5,18,98,8.48,4.81,1,2000
267,Brandon Short,ILB,Penn State,75,252,4.72,,,,,,1,2000
268,Kofi Shuck,WR,Wyoming,74,180,4.66,33.0,,119,7.18,4.10,0,2000
269,Corey Simon,DT,Florida State,74,297,4.83,,,,,,1,2000
270,Mark Simoneau,OLB,Kansas State,72,237,4.60,36.0,24,117,7.08,4.09,1,2000
271,Peter Sirmon,ILB,Oregon,74,246,4.84,34.5,20,115,7.21,4.27,1,2000
272,T.J. Slaughter,ILB,Southern Miss,72,247,4.87,30.0,24,112,7.08,4.26,1,2000
273,Dwyte Smiley,S,Youngstown State,73,198,4.57,35.0,13,115,7.18,4.29,0,2000
274,Jamel Smith,ILB,Virginia Tech,72,245,5.18,29.5,,108,7.51,4.58,0,2000
275,Keith Smith,RB,Arizona,70,207,4.50,,,,,,0,2000
276,Marvel Smith,OT,Arizona State,77,320,5.37,27.5,24,100,7.87,4.83,1,2000
277,Paul Smith,FB,Texas-El Paso,71,220,4.65,,25,,,,1,2000
278,Robaire Smith,DE,Michigan State,76,275,4.88,,,,,,1,2000
279,Terrelle Smith,FB,Arizona State,72,249,5.00,32.5,19,109,8.38,4.85,1,2000
280,R. Jay Soward,WR,USC,69,177,4.34,35.0,,124,,,1,2000
281,Rashon Spikes,RB,Boise State,70,204,4.78,33.0,13,113,7.18,4.47,0,2000
282,Quinton Spotwood,WR,Syracuse,71,184,4.55,33.5,,123,,,0,2000
283,Dave Stachelski,TE,Boise State,75,250,4.78,38.0,24,115,6.84,4.14,1,2000
284,Shyrone Stith,RB,Virginia Tech,67,204,4.60,35.0,13,111,7.14,4.14,1,2000
285,Jay Tant,TE,Northwestern,75,255,4.75,,31,,,,1,2000
286,Mark Tauscher,OG,Wisconsin,75,318,5.37,27.0,22,90,7.91,4.84,1,2000
287,Shannon Taylor,OLB,Virginia,75,249,4.65,34.5,,115,,,1,2000
288,Travis Taylor,WR,Florida,73,199,4.43,37.0,,118,7.15,,1,2000
289,Adalius Thomas,DE,Southern Miss,74,270,4.56,38.5,,120,,4.42,1,2000
290,Jason Thomas,OG,South Carolina,75,300,5.22,29.5,23,100,7.99,,1,2000
291,Michael Thompson,OT,Tennessee State,76,305,5.28,26.0,16,104,7.99,4.73,1,2000
292,Raynoch Thompson,OLB,Tennessee,75,220,4.65,,,,,,1,2000
293,Travares Tillman,S,Georgia Tech,73,194,4.60,37.5,15,123,6.95,4.29,1,2000
294,Mao Tosi,DT,Idaho,77,310,5.26,28.5,19,99,7.72,4.60,1,2000
295,Mac Tuiaea,DT,Washington,78,296,5.09,29.0,25,99,7.82,4.72,0,2000
