year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
1998,Stephen Alexander,Oklahoma,TE,76.40,246,4.65,18,35.5,122,4.09,
1998,Brian Alford,Purdue,WR,73.50,187,4.46,,37.0,127,4.04,
1998,Victor Allotey,Indiana,DT,75.10,325,5.27,23,25.5,104,4.95,
1998,Jason Andersen,Brigham Young,OT,77.60,314,5.35,21,29.5,102,4.50,
1998,Chris Anderson,Colorado,WR,74.40,230,4.85,,34.0,110,4.30,
1998,Darchi Anderson,Arkansas,DT,75.50,306,5.20,25,28.5,103,4.45,
1998,Rodney Artmore,Baylor,CB,71.80,216,4.60,8,38.5,122,4.27,
1998,Tutu Atwell,Minnesota,WR,68.10,164,4.51,,32.5,117,4.22,
1998,John Avery,Mississippi,RB,69.40,184,4.38,17,34.5,121,4.16,
1998,Jason Baker,Montana,OT,78.10,337,5.79,19,22.5,88,5.13,
1998,Tavian Banks,Iowa,RB,69.60,198,4.48,15,39.0,125,3.95,
1998,Shawn Barber,Richmond (VA),OLB,73.90,224,4.56,,37.0,126,4.16,
1998,Octavus Barnes,North Carolina,WR,72.40,197,4.65,,25.0,111,4.48,
1998,Charlie Batch,Eastern Michigan,QB,73.90,216,4.89,,33.5,118,4.11,
1998,Eric Bateman,Brigham Young,OG,78.50,319,,20,,,,
1998,Fred Beasley,Auburn,FB,71.40,220,4.91,16,32.0,114,4.18,
